0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
0,9,9
1,0,1
1,1,1
1,2,3
1,3,3
1,4,5
1,5,5
1,6,7
1,7,7
1,8,9
1,9,9
2,0,2
2,1,3
2,2,2
2,3,3
2,4,6
2,5,7
2,6,6
2,7,7
2,8,10
2,9,11
3,0,3
3,1,3
3,2,3
3,3,3
3,4,7
3,5,7
3,6,7
3,7,7
3,8,11
3,9,11
4,0,4
4,1,5
4,2,6
4,3,7
4,4,4
4,5,5
4,6,6
4,7,7
4,8,12
4,9,13
5,0,5
5,1,5
5,2,7
5,3,7
5,4,5
5,5,5
5,6,7
5,7,7
5,8,13
5,9,13
6,0,6
6,1,7
6,2,6
6,3,7
6,4,6
6,5,7
6,6,6
6,7,7
6,8,14
6,9,15
7,0,7
7,1,7
7,2,7
7,3,7
7,4,7
7,5,7
7,6,7
7,7,7
7,8,15
7,9,15
8,0,8
8,1,9
8,2,10
8,3,11
8,4,12
8,5,13
8,6,14
8,7,15
8,8,8
8,9,9
9,0,9
9,1,9
9,2,11
9,3,11
9,4,13
9,5,13
9,6,15
9,7,15
9,8,9
9,9,9
